,0
0,0.08976038649459095
1,0.11503717960680232
2,0.10043145234093946
3,0.08671137427582461
4,0.08077307483729194
5,0.06910635662429473
6,0.07196058672578896
7,0.06592669118853177
8,0.05925360179561026
9,0.04802661498679834
